game_id,hours_since_game_start,entry_lift
0,-0.5,51.28947368421052
0,-0.25,-12.324324324324323
0,0.0,-7.684210526315795
0,0.25,-12.0
0,0.5,-27.594594594594597
0,0.75,-4.026315789473685
0,1.0,-32.921052631578945
0,1.25,-22.08108108108108
0,1.5,-43.45945945945945
0,1.75,29.02702702702703
0,2.0,116.1081081081081
0,2.25,629.4864864864865
0,2.5,1033.1315789473683
0,2.75,692.078947368421
0,3.0,97.89473684210526
0,3.25,-4.9473684210526585
0,3.5,-45.43243243243242
0,3.75,-32.432432432432435
0,4.0,-6.189189189189193
0,4.25,-18.16216216216216
0,4.5,-7.756756756756758
0,4.75,18.675675675675677
0,5.0,11.11111111111111
0,5.25,-17.91891891891892
0,5.5,-42.407407407407405
1,-0.5,-19.5151515151515
1,-0.25,-51.272727272727266
1,0.0,-4.696969696969703
1,0.25,-38.66666666666667
1,0.5,-5.393939393939391
1,0.75,-25.03030303030303
1,1.0,-15.939393939393938
1,1.25,14.393939393939391
1,1.5,-10.666666666666664
1,1.75,35.727272727272734
1,2.0,264.6060606060606
1,2.25,725.6666666666666
1,2.5,1049.5454545454545
1,2.75,257.3636363636364
1,3.0,170.15151515151516
1,3.25,151.39393939393938
1,3.5,-1.7878787878787818
1,3.75,-5.63636363636364
1,4.0,-21.515151515151516
1,4.25,-6.060606060606062
1,4.5,34.39393939393939
1,4.75,5.515151515151516
1,5.0,63.09090909090909
1,5.25,10.09375
1,5.5,0.6071428571428572
1,5.75,16.551724137931036
1,6.0,4.076923076923077
2,-0.5,-23.56756756756758
2,-0.25,-7.15789473684211
2,0.0,-55.71052631578948
2,0.25,-0.3243243243243228
2,0.5,-33.684210526315795
2,0.75,-12.0
2,1.0,-14.594594594594597
2,1.25,-23.026315789473685
2,1.5,-19.921052631578945
2,1.75,-35.08108108108108
2,2.0,19.540540540540547
2,2.25,237.02702702702703
2,2.5,822.1081081081081
2,2.75,465.48648648648646
2,3.0,288.13157894736844
2,3.25,-88.92105263157896
2,3.5,-120.10526315789474
2,3.75,-121.94736842105266
2,4.0,-92.43243243243242
2,4.25,-28.432432432432435
2,4.5,-27.189189189189193
2,4.75,-4.162162162162161
2,5.0,-9.756756756756758
2,5.25,-7.324324324324325
2,5.5,-24.88888888888889
2,5.75,-19.91891891891892
3,-0.5,-29.19230769230768
3,-0.25,-37.11538461538461
3,0.0,-45.78846153846153
3,0.25,-33.05769230769231
3,0.5,1.9230769230769198
3,0.75,12.557692307692307
3,1.0,-21.942307692307693
3,1.25,5.92307692307692
3,1.5,-2.57692307692308
3,1.75,9.32692307692308
3,2.0,90.57692307692308
3,2.25,281.9230769230769
3,2.5,591.3076923076924
3,2.75,628.156862745098
3,3.0,105.40384615384616
3,3.25,56.480769230769226
3,3.5,-43.07692307692308
3,3.75,70.53846153846155
3,4.0,9.48076923076923
3,4.25,18.92156862745098
3,4.5,3.647058823529413
3,4.75,-0.7058823529411757
3,5.0,-0.8039215686274508
3,5.25,-1.2222222222222223
3,5.5,-1.5319148936170213
3,5.75,-6.311111111111111
4,-0.5,-31.696969696969703
4,-0.25,2.3333333333333286
4,0.0,44.60606060606061
4,0.25,17.96969696969697
4,0.5,-6.939393939393938
4,0.75,-1.606060606060609
4,1.0,3.3333333333333357
4,1.25,13.727272727272734
4,1.5,-11.393939393939391
4,1.75,30.66666666666667
4,2.0,215.54545454545456
4,2.25,831.3636363636364
4,2.5,970.1515151515151
4,2.75,661.3939393939394
4,3.0,197.21212121212122
4,3.25,42.36363636363636
4,3.5,50.484848484848484
4,3.75,4.939393939393938
4,4.0,44.39393939393939
4,4.25,5.515151515151516
4,4.5,0.09090909090909083
4,4.75,0.09375
4,5.0,-0.3928571428571428
4,5.25,-0.4482758620689655
4,5.5,0.07692307692307687
4,5.75,0.44999999999999996
4,6.0,-0.6
5,-0.5,-36.68421052631578
5,-0.25,-14.054054054054063
5,0.0,-22.56756756756758
5,0.25,-20.15789473684211
5,0.5,-16.71052631578948
5,0.75,-15.324324324324323
5,1.0,-16.684210526315795
5,1.25,-4.0
5,1.5,-6.5945945945945965
5,1.75,-27.026315789473685
5,2.0,7.078947368421055
5,2.25,-12.08108108108108
5,2.5,0.5405405405405475
5,2.75,39.02702702702703
5,3.0,-13.891891891891902
5,3.25,980.4864864864865
5,3.5,667.1315789473684
5,3.75,30.07894736842104
5,4.0,-83.10526315789474
5,4.25,-196.94736842105266
5,4.5,-99.43243243243242
5,4.75,-36.432432432432435
5,5.0,3.810810810810807
5,5.25,-27.16216216216216
5,5.5,-3.756756756756758
5,5.75,-11.324324324324325
5,6.0,-24.88888888888889
6,-0.5,-44.209302325581405
6,-0.25,17.837209302325576
6,0.0,34.13953488372093
6,0.25,-7.465116279069761
6,0.5,-11.25581395348837
6,0.75,10.883720930232556
6,1.0,-4.0930232558139465
6,1.25,24.883720930232556
6,1.5,-36.97674418604652
6,1.75,22.558139534883722
6,2.0,73.3953488372093
6,2.25,65.95348837209302
6,2.5,801.5116279069767
6,2.75,1396.2790697674418
6,3.0,288.95348837209303
6,3.25,132.13953488372093
6,3.5,23.674418604651166
6,3.75,16.441860465116278
6,4.0,7.651162790697676
6,4.25,45.16279069767442
6,4.5,-17.5
6,4.75,0.8139534883720927
6,5.0,-0.7906976744186047
6,5.25,-0.41463414634146334
6,5.5,0.17142857142857137
6,6.0,-0.39285714285714285
7,-0.5,-7.192307692307693
7,-0.25,-24.03846153846154
7,0.0,1.53846153846154
7,0.25,-13.34615384615384
7,0.5,6.192307692307693
7,0.75,-16.480769230769226
