game_id,hours_since_game_start,entry_lift
0,-0.5,-73.34210526315789
0,-0.25,6.815789473684205
0,0.0,-31.351351351351354
0,0.25,-30.648648648648646
0,0.5,-31.37837837837838
0,0.75,-1.9729729729729684
0,1.0,-18.0
0,1.25,-15.763157894736842
0,1.5,-45.578947368421055
0,1.75,-22.315789473684205
0,2.0,-13.0
0,2.25,-6.60526315789474
0,2.5,22.70270270270271
0,2.75,888.6486486486486
0,3.0,575.921052631579
0,3.25,196.54054054054055
0,3.5,44.91891891891892
0,3.75,-61.0
0,4.0,-73.45945945945945
0,4.25,-71.54054054054055
0,4.5,-11.351351351351354
0,4.75,-1.9189189189189193
0,5.0,1.1081081081081052
0,5.25,12.91891891891892
0,5.5,-10.18918918918919
0,5.75,-4.27027027027027
0,6.0,-11.405405405405407
2,-0.5,-35.68421052631578
2,-0.25,2.9459459459459367
2,0.0,-1.567567567567579
2,0.25,-33.15789473684211
2,0.5,-41.71052631578948
2,0.75,-31.324324324324323
2,1.0,-19.684210526315795
2,1.25,-25.0
2,1.5,-13.594594594594597
2,1.75,-21.026315789473685
2,2.0,14.078947368421055
2,2.25,26.91891891891892
2,2.5,500.5405405405405
2,2.75,807.0270270270271
2,3.0,157.1081081081081
2,3.25,13.486486486486484
2,3.5,315.13157894736844
2,3.75,-15.92105263157896
2,4.0,-80.10526315789474
2,4.25,-204.94736842105266
2,4.5,-112.43243243243242
2,4.75,-2.432432432432435
2,5.0,-3.189189189189193
2,5.25,-24.16216216216216
2,5.5,78.24324324324324
2,5.75,-9.324324324324325
2,6.0,-17.88888888888889
3,-0.5,-37.69387755102042
3,-0.25,-13.102040816326536
3,0.0,-38.0204081632653
3,0.25,11.020408163265301
3,0.5,-16.469387755102048
3,0.75,-25.448979591836732
3,1.0,27.959183673469383
3,1.25,18.34693877551021
3,1.5,19.693877551020407
3,1.75,16.448979591836732
3,2.0,-18.183673469387756
3,2.25,32.69387755102041
3,2.5,70.9591836734694
3,2.75,859.9183673469388
3,3.0,1252.7551020408164
3,3.25,224.9795918367347
3,3.5,140.16326530612247
3,3.75,17.0
3,4.0,31.734693877551024
3,4.25,44.40816326530612
3,4.5,27.693877551020407
3,4.75,7.142857142857142
3,5.0,-13.285714285714285
3,5.25,3.63265306122449
3,5.5,0.5714285714285712
3,5.75,-0.18367346938775508
3,6.0,0.6888888888888889
4,-0.5,-4.4883720930232585
4,-0.25,-34.69767441860466
4,0.0,-18.209302325581405
4,0.25,-12.209302325581405
4,0.5,-43.209302325581405
4,0.75,-7.162790697674424
4,1.0,30.139534883720927
4,1.25,-9.465116279069761
4,1.5,42.74418604651163
4,1.75,-7.116279069767444
4,2.0,26.906976744186053
4,2.25,127.88372093023256
4,2.5,1459.0232558139535
4,2.75,907.5581395348837
4,3.0,341.3953488372093
4,3.25,137.95348837209303
4,3.5,118.51162790697674
4,3.75,2.279069767441854
