game_id,date,hour,minute,late,opponent,playoff
127,2013-07-04,13,35,0,Padres,0
128,2013-07-19,19,10,1,Yankees,0
129,2013-07-20,16,5,0,Yankees,0
130,2013-07-21,20,5,1,Yankees,0
131,2013-07-22,19,10,1,Rays,0
132,2013-07-23,19,10,1,Rays,0
133,2013-07-24,19,10,1,Rays,0
134,2013-07-29,18,10,1,Rays,0
135,2013-07-30,19,10,1,Mariners,0
136,2013-07-31,19,10,1,Mariners,0
137,2013-08-01,19,10,1,Mariners,0
138,2013-08-02,19,10,1,D-backs,0
139,2013-08-03,19,10,1,D-backs,0
140,2013-08-04,13,35,0,D-backs,0
141,2013-08-16,19,10,1,Yankees,0
142,2013-08-17,16,5,0,Yankees,0
143,2013-08-18,20,5,1,Yankees,0
144,2013-08-27,19,10,1,Orioles,0
145,2013-08-28,19,10,1,Orioles,0
146,2013-08-29,19,10,1,Orioles,0
147,2013-08-30,19,10,1,White Sox,0
148,2013-08-31,19,10,1,White Sox,0
149,2013-09-01,13,35,0,White Sox,0
150,2013-09-02,13,35,0,Tigers,0
151,2013-09-03,19,10,1,Tigers,0
152,2013-09-04,19,10,1,Tigers,0
153,2013-09-13,19,10,1,Yankees,0
154,2013-09-14,13,5,0,Yankees,0
155,2013-09-15,20,5,1,Yankees,0
156,2013-09-17,19,10,1,Orioles,0
157,2013-09-18,19,10,1,Orioles,0
158,2013-09-19,19,10,1,Orioles,0
159,2013-09-20,19,10,1,Blue Jays,0
160,2013-09-21,19,10,1,Blue Jays,0
161,2013-09-22,13,35,0,Blue Jays,0
162,2013-10-04,15,0,0,Rays,1
163,2013-10-05,17,30,0,Rays,1
164,2013-10-12,20,0,1,Tigers,1
165,2013-10-13,20,0,1,Tigers,1
166,2013-10-19,20,0,1,Tigers,1
167,2013-10-23,19,30,1,Cardinals,1
168,2013-10-24,19,30,1,Cardinals,1
169,2013-10-30,19,30,1,Cardinals,1
170,2014-04-04,14,5,0,Brewers,0
171,2014-04-05,19,10,1,Brewers,0
172,2014-04-06,13,35,0,Brewers,0
173,2014-04-07,19,10,1,Rangers,0
174,2014-04-08,18,10,1,Rangers,0
175,2014-04-09,16,5,0,Rangers,0
176,2014-04-18,19,10,1,Orioles,0
177,2014-04-19,13,35,0,Orioles,0
178,2014-04-20,19,5,1,Orioles,0
179,2014-04-21,11,5,0,Orioles,0
180,2014-04-22,19,10,1,Yankees,0
181,2014-04-23,19,10,1,Yankees,0
182,2014-04-24,19,10,1,Yankees,0
183,2014-04-29,19,10,1,Rays,0
184,2014-05-01,13,5,0,Rays,0
185,2014-05-01,19,10,1,Rays,0
186,2014-05-02,19,10,1,Athletics,0
187,2014-05-03,13,35,0,Athletics,0
188,2014-05-04,13,35,0,Athletics,0
189,2014-05-06,19,10,1,Reds,0
190,2014-05-07,19,10,1,Reds,0
191,2014-05-16,19,10,1,Tigers,0
192,2014-05-17,19,10,1,Tigers,0
193,2014-05-18,20,5,1,Tigers,0
194,2014-05-20,19,10,1,Blue Jays,0
195,2014-05-21,19,10,1,Blue Jays,0
196,2014-05-22,16,5,0,Blue Jays,0
197,2014-05-28,19,10,1,Braves,0
198,2014-05-29,19,10,1,Braves,0
199,2014-05-30,19,10,1,Rays,0
200,2014-05-31,19,15,1,Rays,0
201,2014-06-01,13,35,0,Rays,0
202,2014-06-12,19,10,1,Indians,0
203,2014-06-13,19,10,1,Indians,0
204,2014-06-14,16,5,0,Indians,0
205,2014-06-15,13,35,0,Indians,0
206,2014-06-16,19,10,1,Twins,0
207,2014-06-17,19,10,1,Twins,0
208,2014-06-18,13,35,0,Twins,0
209,2014-06-30,19,10,1,Cubs,0
210,2014-07-01,19,10,1,Cubs,0
211,2014-07-02,19,10,1,Cubs,0
