game_id,hours_until_game_start,lift_entries_blue,lift_entries_green,lift_entries_orange,lift_entries_red
0,-0.5,-16.578089982254735,-373.56994681873005,-313.1336415362731,-361.9463300142246
0,-0.25,-96.60431646589541,-492.2401005790479,-208.20458036984354,-349.82701280227593
0,0.0,-33.96212575475733,-342.3628549260129,-209.55588193456617,-340.474329065908
0,0.25,-80.96368083274258,-354.1829023302479,-130.89317211948793,-307.658869922554
0,0.5,-75.8372097129992,-244.29144002512425,-8.639480796586074,-211.2725470207049
0,0.75,-82.04865232917864,-203.95000319486388,-101.18946657183503,-283.5465931721194
0,1.0,-58.34694764694765,-405.5861995898839,-87.1850071123755,-429.00470839260316
0,1.25,-59.94049826418247,-379.59206057732365,-3.3120199146514366,-98.92834992887617
0,1.5,-31.685228214175616,-273.90969685680204,-1.1234921763868897,-328.4713513513514
0,1.75,-98.66011200748041,-155.61404391404392,-54.02896159317219,-351.67539355144623
0,2.0,-33.50133623133629,-442.1958769774559,87.74556819977886,-134.179971550498
0,2.25,-126.85691241270194,-474.52116757513807,74.03815512881275,-150.9259743954481
0,2.5,-44.15809697809688,-282.0925506254918,148.19349375691468,-218.98489015331137
0,2.75,-67.93717316506789,-11.080416097211838,53.89755729413605,-81.85004741583663
0,3.0,-13.702619299461489,-57.13044942775596,69.58171961435107,-50.9268484273746
0,3.25,-55.48460061565327,-500.3109354732884,-109.04770191243867,-375.1037363679472
0,3.5,-50.97701980965143,-504.23625180163856,-94.97334281650069,-246.40448869922528
0,3.75,-92.25635144529878,-542.0489352693531,-135.21652520942015,-323.4650197565987
0,4.0,-122.85597818650442,-585.0541886760309,-216.50016753595705,-457.9599075391181
0,4.25,-69.16099233204497,-496.13282021597814,-331.89589615931703,-420.0854196301565
0,4.5,-62.770443074653585,-297.530957706933,-220.92188477951635,-420.9690825035563
0,4.75,-76.71204458046563,-670.0541473462526,-132.9265433854908,-393.13913229018476
0,5.0,-100.9157774520932,-521.358928135244,-230.52607396870556,-363.8832930298721
0,5.25,7.500274868169605,-303.8837444347971,-223.80220483641534,-157.01502133712648
0,5.5,-79.65698660382867,-354.04211468474614,-155.50992887624466,-375.0826884779517
0,5.75,-18.192637134742363,-455.5315571483992,-196.14718349928881,-480.68406827880506
0,6.0,-106.227120038699,-448.7738859433596,-268.8858819345662,-499.3714153627312
1,-0.5,-59.26525325853819,-139.44593507228478,-76.96424242424241,-251.41303030303033
1,-0.25,-32.79681220095692,-204.59441220352932,-105.76181818181819,-229.66606060606063
1,0.0,-2.92507177033494,-158.6477182692802,22.199090909090966,-268.6727272727273
1,0.25,-25.953686204146734,-75.33638575911924,-13.03090909090908,-71.8848484848485
1,0.5,34.79016746411483,-96.11449966558624,88.81151515151514,-295.52969696969706
1,0.75,-35.20726552451506,38.803994443586944,51.63424242424236,5.393030303030265
1,1.0,-48.05706822040437,82.69359276122856,164.24393939393948,1.9942424242422092
1,1.25,-24.726315789473663,20.256123437258864,228.7660606060606,-20.345757575757837
1,1.5,-81.07384370015949,-73.33058303750602,37.00636363636362,-43.14636363636355
1,1.75,8.88216108452951,-45.4355526830272,130.9460606060607,-10.690909090909258
1,2.0,-37.37708011286951,24.501419972218073,-54.52939393939407,-43.784848484848936
1,2.25,-186.00089712918646,-208.60801062406745,-1.3660606060604223,58.092727272727004
1,2.5,-33.04127591706542,137.48607417554138,-53.801818181818085,-22.67212121212161
1,2.75,-19.522009569378,-95.67592581159634,102.16333333333333,-113.20181818181823
1,3.0,-86.61591706539069,247.5811745639759,154.12363636363625,178.01303030303046
1,3.25,-5.599553429027136,172.95334465195253,101.90333333333331,-52.43606060606072
1,3.5,-99.02012759170651,-197.41111899984563,-140.08393939393946,-37.402424242424075
1,3.75,-91.28051036682622,-134.2768611411226,-260.80848484848485,-74.58757575757578
1,4.0,-6.065724450987609,-140.671716314246,-112.83030303030316,-111.39727272727262
1,4.25,-7.194992025518367,-175.08353404589192,-104.3803030303031,-214.39636363636365
1,4.5,-71.95620414673044,-151.634615424191,-43.440909090909116,-263.47666666666663
1,4.75,-14.788995215311006,-226.33152389772084,48.78424242424244,183.38060606060606
1,5.0,-32.66159980370508,-93.91575397437879,-108.14909090909092,-51.093636363636385
1,5.25,37.347336523125996,-154.75019807583476,-319.7560606060606,-145.57969696969695
1,5.5,-62.12266225003067,-134.13197664248594,17.016060606060677,-255.24390151515152
1,5.75,-35.29143417985526,-165.4168379894017,-150.37181818181818,-22.023068181818147
1,6.0,-38.520382775119614,-49.0614019653238,-109.0175757575758,-173.6221212121212
2,-0.5,-45.64212575475732,-293.80285492601286,-145.43588193456617,-195.75432906590808
2,-0.25,-23.683680832742603,-200.96290233024786,-73.78317211948793,-274.9088699225541
2,0.0,-71.26959066538015,-313.3814400251242,-146.78948079658608,-245.32254702070495
2,0.25,-66.02865232917864,-215.70000319486385,-143.75946657183505,-176.98659317211943
2,0.5,-53.62694764694765,-222.28619958988395,38.13499288762452,-241.26470839260315
2,0.75,-65.42049826418247,-224.64206057732372,109.61798008534858,-49.258349928876186
2,1.0,-101.14522821417562,-306.8396968568021,102.80650782361313,-106.13135135135144
2,1.25,-101.50011200748037,-200.72404391404388,171.70103840682782,-68.85539355144617
2,1.5,-33.36133623133628,-325.61587697745586,18.80556819977884,-272.77997155049803
2,1.75,-102.65691241270193,-274.21116757513806,64.90815512881272,-124.07597439544807
2,2.0,-20.07809697809689,-54.212550625491794,199.44349375691462,131.87510984668864
2,2.25,-137.47717316506788,-75.26041609721182,211.07755729413603,-131.3000474158368
2,2.5,-3.702619299461464,-94.56044942775586,151.94171961435111,-12.896848427374586
2,2.75,-39.98460061565325,-405.8709354732884,26.812298087561274,-133.5937363679471
2,3.0,-171.49701980965142,-258.3162518016385,46.57665718349925,-310.2744886992253
2,3.25,-87.33635144529877,-507.3589352693532,-136.39652520942016,-265.7350197565988
2,3.5,-79.29597818650443,-301.66418867603085,-123.35016753595701,-254.30990753911811
2,3.75,-66.88099233204497,-198.62282021597815,-123.73589615931704,-352.01541963015643
2,4.0,-115.17044307465358,-133.930957706933,-3.811884779516312,-281.8190825035562
2,4.25,-54.972044580465635,-228.83414734625262,148.9134566145092,-303.03913229018485
2,4.5,-76.0557774520932,-376.508928135244,-104.80607396870558,-356.8632930298721
2,4.75,-82.7397251318304,-315.1237444347971,-63.49220483641531,-176.10502133712646
2,5.0,-12.476986603828669,-397.9421146847461,-153.44992887624466,-290.3426884779517
